羁绊,1,2,3,4,5,6,7,8
2格斗家 1女皇 2神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 3德玛西亚 3虚空 ,加里奥,凯尔,瑞兹,科加斯,盖伦,卑尔维斯,亚托克斯,雷克塞
2挑战者 2神谕者 2主宰 2裁决战士 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,艾瑞莉娅,卡尔玛,盖伦,卡莉丝塔,瑟提,格温
2挑战者 2神谕者 2裁决战士 2法师 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,艾瑞莉娅,卡尔玛,拉克丝,阿狸,卡莉丝塔,格温
2挑战者 2神谕者 2主宰 2裁决战士 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,卡尔玛,盖伦,亚索,卡莉丝塔,瑟提,格温
2神谕者 2主宰 2潜行者 3裁决战士 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,卡尔玛,盖伦,佛耶戈,劫,瑟提,格温
2挑战者 2神谕者 2裁决战士 2法师 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,卡尔玛,拉克丝,阿狸,亚索,卡莉丝塔,格温
2神谕者 2潜行者 3裁决战士 2法师 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,卡尔玛,拉克丝,阿狸,佛耶戈,劫,格温
2堡垒卫士 2神谕者 2主宰 2潜行者 2裁决战士 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,茂凯,盖伦,慎,佛耶戈,劫,瑟提
2格斗家 2神谕者 2主宰 2术士 3德玛西亚 3诺克萨斯 3恕瑞玛 ,加里奥,赛恩,娑娜,雷克顿,卡西奥佩娅,盖伦,德莱厄斯,塔莉垭
2格斗家 2神谕者 2主宰 2司令 3德玛西亚 3诺克萨斯 3恕瑞玛 ,加里奥,赛恩,雷克顿,嘉文四世,卡西奥佩娅,盖伦,德莱厄斯,阿兹尔
2亡眼射手 2神谕者 2术士 2司令 3德玛西亚 3恕瑞玛 2巨神峰 ,加里奥,索拉卡,娑娜,嘉文四世,塔莉垭,阿克尚,阿兹尔,厄斐琉斯
2亡眼射手 2神谕者 2主宰 2术士 3德玛西亚 3恕瑞玛 2巨神峰 ,加里奥,索拉卡,娑娜,内瑟斯,盖伦,塔莉垭,阿克尚,厄斐琉斯
2堡垒卫士 4神谕者 2主宰 2法师 3德玛西亚 3艾欧尼亚 2巨神峰 ,加里奥,索拉卡,卡尔玛,塔里克,盖伦,慎,拉克丝,瑟提
2堡垒卫士 2神谕者 2主宰 2裁决战士 2法师 1暗裔 3德玛西亚 2暗影岛 2巨神峰 ,加里奥,索拉卡,塔里克,茂凯,盖伦,拉克丝,亚托克斯,格温
2亡眼射手 2神谕者 2主宰 2司令 3德玛西亚 3恕瑞玛 2巨神峰 ,加里奥,索拉卡,嘉文四世,内瑟斯,盖伦,阿克尚,阿兹尔,厄斐琉斯
2亡眼射手 2神谕者 2主宰 2法师 3德玛西亚 3艾欧尼亚 2巨神峰 ,加里奥,索拉卡,盖伦,拉克丝,阿狸,烬,厄斐琉斯,瑟提
2亡眼射手 2神谕者 2术士 2司令 3德玛西亚 2弗雷尔卓德 3恕瑞玛 ,加里奥,艾希,娑娜,嘉文四世,丽桑卓,塔莉垭,阿克尚,阿兹尔
2亡眼射手 2神谕者 2主宰 2术士 3德玛西亚 2弗雷尔卓德 3恕瑞玛 ,加里奥,艾希,娑娜,内瑟斯,盖伦,丽桑卓,塔莉垭,阿克尚
2亡眼射手 2神谕者 2主宰 2司令 3德玛西亚 2弗雷尔卓德 3恕瑞玛 ,加里奥,艾希,嘉文四世,内瑟斯,盖伦,丽桑卓,阿克尚,阿兹尔
2亡眼射手 2神谕者 2主宰 2法师 3德玛西亚 2弗雷尔卓德 3艾欧尼亚 ,加里奥,艾希,盖伦,拉克丝,阿狸,丽桑卓,烬,瑟提
2格斗家 1女皇 2神谕者 2术士 2法师 3德玛西亚 2弗雷尔卓德 3虚空 ,加里奥,科加斯,娑娜,拉克丝,瑟庄妮,丽桑卓,维克兹,卑尔维斯
2格斗家 2神谕者 2术士 2司令 3德玛西亚 2弗雷尔卓德 3恕瑞玛 ,加里奥,娑娜,雷克顿,嘉文四世,瑟庄妮,丽桑卓,塔莉垭,阿兹尔
2格斗家 2神谕者 2主宰 2术士 3德玛西亚 2弗雷尔卓德 3恕瑞玛 ,加里奥,娑娜,雷克顿,内瑟斯,盖伦,瑟庄妮,丽桑卓,塔莉垭
2格斗家 1女皇 2神谕者 2术士 2法师 3德玛西亚 2弗雷尔卓德 3虚空 ,加里奥,娑娜,拉克丝,瑟庄妮,丽桑卓,维克兹,卑尔维斯,雷克塞
2枪手 2神谕者 2主宰 2法师 3德玛西亚 3艾欧尼亚 2祖安 ,加里奥,卡尔玛,盖伦,拉克丝,阿狸,泽丽,金克丝,瑟提
2堡垒卫士 2亡眼射手 2神谕者 2主宰 2法师 3德玛西亚 3艾欧尼亚 2巨神峰 ,加里奥,塔里克,盖伦,慎,拉克丝,烬,厄斐琉斯,瑟提
2格斗家 2神谕者 2主宰 2司令 3德玛西亚 2弗雷尔卓德 3恕瑞玛 ,加里奥,雷克顿,嘉文四世,内瑟斯,盖伦,瑟庄妮,丽桑卓,阿兹尔
2挑战者 2亡眼射手 2神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 2暗影岛 2巨神峰 2祖安 ,厄加特,瑞兹,索拉卡,沃里克,亚托克斯,卡莉丝塔,厄斐琉斯,格温
2挑战者 2亡眼射手 2神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 2弗雷尔卓德 2暗影岛 2祖安 ,厄加特,瑞兹,沃里克,艾希,丽桑卓,亚托克斯,卡莉丝塔,格温
2堡垒卫士 2挑战者 2亡眼射手 2神谕者 2主宰 1流浪法师 3艾欧尼亚 2暗影岛 2祖安 ,厄加特,瑞兹,沃里克,茂凯,慎,烬,卡莉丝塔,瑟提
2挑战者 2亡眼射手 2枪手 2神谕者 1流浪法师 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,厄加特,瑞兹,艾瑞莉娅,卡尔玛,烬,泽丽,赛娜,卡莉丝塔
2挑战者 2亡眼射手 2枪手 2神谕者 1流浪法师 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,厄加特,瑞兹,艾瑞莉娅,卡尔玛,烬,金克丝,赛娜,卡莉丝塔
2挑战者 2亡眼射手 2枪手 2神谕者 1流浪法师 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,厄加特,瑞兹,卡尔玛,亚索,烬,泽丽,赛娜,卡莉丝塔
2挑战者 2亡眼射手 2枪手 2神谕者 1流浪法师 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,厄加特,瑞兹,卡尔玛,亚索,烬,金克丝,赛娜,卡莉丝塔
2格斗家 2挑战者 2亡眼射手 1女皇 2主宰 3艾欧尼亚 3虚空 2祖安 ,厄加特,沃里克,科加斯,艾瑞莉娅,卑尔维斯,烬,雷克塞,瑟提
2格斗家 2挑战者 2亡眼射手 1女皇 2主宰 3恕瑞玛 3虚空 2祖安 ,厄加特,沃里克,科加斯,雷克顿,内瑟斯,卡莎,阿克尚,卑尔维斯
2格斗家 2挑战者 2亡眼射手 1女皇 2主宰 3艾欧尼亚 3虚空 2祖安 ,厄加特,沃里克,科加斯,亚索,卑尔维斯,烬,雷克塞,瑟提
2堡垒卫士 2挑战者 2亡眼射手 1女皇 2主宰 3恕瑞玛 3虚空 2祖安 ,厄加特,沃里克,卡萨丁,内瑟斯,卡莎,阿克尚,卑尔维斯,奎桑提
2堡垒卫士 2挑战者 2亡眼射手 2神谕者 2主宰 3艾欧尼亚 3恕瑞玛 2祖安 ,厄加特,沃里克,艾瑞莉娅,卡尔玛,内瑟斯,慎,阿克尚,奎桑提
4挑战者 2亡眼射手 2主宰 2裁决战士 1暗裔 3艾欧尼亚 2暗影岛 2祖安 ,厄加特,沃里克,艾瑞莉娅,亚索,烬,亚托克斯,卡莉丝塔,格温
2挑战者 2亡眼射手 2主宰 2潜行者 3裁决战士 1暗裔 3艾欧尼亚 2暗影岛 2祖安 ,厄加特,沃里克,艾瑞莉娅,烬,佛耶戈,劫,亚托克斯,格温
2堡垒卫士 2挑战者 2亡眼射手 2神谕者 2主宰 3艾欧尼亚 3恕瑞玛 2祖安 ,厄加特,沃里克,卡尔玛,内瑟斯,慎,亚索,阿克尚,奎桑提
2格斗家 2挑战者 2亡眼射手 1女皇 2主宰 3恕瑞玛 3虚空 2祖安 ,厄加特,沃里克,雷克顿,内瑟斯,卡莎,阿克尚,卑尔维斯,雷克塞
2挑战者 2亡眼射手 2主宰 2术士 2法师 3恕瑞玛 3虚空 2祖安 ,厄加特,沃里克,内瑟斯,玛尔扎哈,卡莎,维克兹,塔莉垭,阿克尚
2挑战者 2亡眼射手 1女皇 2主宰 2法师 3艾欧尼亚 3虚空 2祖安 ,厄加特,沃里克,玛尔扎哈,阿狸,卡莎,卑尔维斯,烬,瑟提
2挑战者 2亡眼射手 2主宰 2潜行者 3裁决战士 1暗裔 3艾欧尼亚 2暗影岛 2祖安 ,厄加特,沃里克,亚索,烬,佛耶戈,劫,亚托克斯,格温
2格斗家 2亡眼射手 2枪手 2潜行者 2弗雷尔卓德 3皮尔特沃夫 1涤魂圣枪 2暗影岛 2祖安 ,厄加特,艾希,瑟庄妮,杰斯,佛耶戈,赛娜,艾克,蔚
2亡眼射手 2枪手 2主宰 2潜行者 2裁决战士 1暗裔 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,厄加特,烬,泽丽,佛耶戈,赛娜,劫,亚托克斯,瑟提
2亡眼射手 2枪手 2主宰 2潜行者 2裁决战士 1暗裔 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,厄加特,烬,金克丝,佛耶戈,赛娜,劫,亚托克斯,瑟提
2堡垒卫士 1女皇 2术士 2裁决战士 2法师 3德玛西亚 2暗影岛 3虚空 ,凯尔,娑娜,卡萨丁,茂凯,拉克丝,维克兹,卑尔维斯,格温
2堡垒卫士 2术士 2裁决战士 2司令 3德玛西亚 2暗影岛 3恕瑞玛 ,凯尔,娑娜,茂凯,嘉文四世,塔莉垭,阿兹尔,格温,奎桑提
2堡垒卫士 2主宰 2术士 2裁决战士 3德玛西亚 2暗影岛 3恕瑞玛 ,凯尔,娑娜,茂凯,内瑟斯,盖伦,塔莉垭,格温,奎桑提
2挑战者 1女皇 2术士 2裁决战士 2法师 3德玛西亚 2暗影岛 3虚空 ,凯尔,娑娜,拉克丝,卡莎,维克兹,卑尔维斯,卡莉丝塔,格温
2挑战者 2主宰 2裁决战士 2法师 3德玛西亚 3艾欧尼亚 2暗影岛 ,凯尔,艾瑞莉娅,盖伦,拉克丝,阿狸,卡莉丝塔,瑟提,格温
2堡垒卫士 2主宰 2裁决战士 2司令 3德玛西亚 2暗影岛 3恕瑞玛 ,凯尔,茂凯,嘉文四世,内瑟斯,盖伦,阿兹尔,格温,奎桑提
2挑战者 2主宰 2裁决战士 2法师 3德玛西亚 3艾欧尼亚 2暗影岛 ,凯尔,盖伦,拉克丝,阿狸,亚索,卡莉丝塔,瑟提,格温
2主宰 2潜行者 3裁决战士 2法师 3德玛西亚 3艾欧尼亚 2暗影岛 ,凯尔,盖伦,拉克丝,阿狸,佛耶戈,劫,瑟提,格温
2格斗家 2亡眼射手 2神谕者 2主宰 1流浪法师 2弗雷尔卓德 3诺克萨斯 3恕瑞玛 ,瑞兹,赛恩,艾希,卡西奥佩娅,内瑟斯,瑟庄妮,德莱厄斯,阿克尚
2堡垒卫士 2格斗家 2神谕者 2潜行者 1流浪法师 3诺克萨斯 2暗影岛 3恕瑞玛 ,瑞兹,赛恩,卡特琳娜,茂凯,雷克顿,卡西奥佩娅,佛耶戈,奎桑提
2格斗家 2挑战者 2神谕者 2潜行者 1流浪法师 2弗雷尔卓德 3诺克萨斯 2暗影岛 ,瑞兹,赛恩,卡特琳娜,瑟庄妮,丽桑卓,佛耶戈,莎弥拉,卡莉丝塔
2堡垒卫士 2格斗家 2挑战者 2神谕者 1流浪法师 3诺克萨斯 2暗影岛 3恕瑞玛 ,瑞兹,赛恩,茂凯,雷克顿,卡西奥佩娅,莎弥拉,卡莉丝塔,奎桑提
2格斗家 2枪手 2神谕者 2主宰 1流浪法师 3诺克萨斯 3恕瑞玛 2祖安 ,瑞兹,赛恩,雷克顿,卡西奥佩娅,内瑟斯,德莱厄斯,泽丽,金克丝
2挑战者 2亡眼射手 4神谕者 1流浪法师 2弗雷尔卓德 3艾欧尼亚 2巨神峰 ,瑞兹,索拉卡,艾希,艾瑞莉娅,卡尔玛,丽桑卓,亚索,厄斐琉斯
2堡垒卫士 2亡眼射手 4神谕者 2法师 1流浪法师 2弗雷尔卓德 3艾欧尼亚 2巨神峰 ,瑞兹,索拉卡,艾希,塔里克,慎,阿狸,丽桑卓,烬
2堡垒卫士 1女皇 2枪手 2神谕者 2法师 1流浪法师 2巨神峰 3虚空 2祖安 ,瑞兹,索拉卡,卡萨丁,塔里克,玛尔扎哈,卑尔维斯,泽丽,金克丝
2挑战者 2亡眼射手 2枪手 2神谕者 1流浪法师 3艾欧尼亚 2巨神峰 2祖安 ,瑞兹,索拉卡,艾瑞莉娅,亚索,烬,泽丽,金克丝,厄斐琉斯
2堡垒卫士 2枪手 4神谕者 2法师 1流浪法师 3艾欧尼亚 2巨神峰 2祖安 ,瑞兹,索拉卡,卡尔玛,塔里克,慎,阿狸,泽丽,金克丝
2堡垒卫士 2挑战者 1女皇 2神谕者 2法师 1流浪法师 2暗影岛 2巨神峰 3虚空 ,瑞兹,索拉卡,塔里克,茂凯,玛尔扎哈,卡莎,卑尔维斯,卡莉丝塔
2堡垒卫士 2挑战者 2枪手 2神谕者 2主宰 1流浪法师 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,瑞兹,沃里克,艾瑞莉娅,茂凯,慎,泽丽,赛娜,瑟提
2堡垒卫士 2挑战者 2枪手 2神谕者 2主宰 1流浪法师 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,瑞兹,沃里克,艾瑞莉娅,茂凯,慎,金克丝,赛娜,瑟提
2堡垒卫士 2挑战者 2枪手 2神谕者 2主宰 1流浪法师 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,瑞兹,沃里克,茂凯,慎,亚索,泽丽,赛娜,瑟提
2堡垒卫士 2挑战者 2枪手 2神谕者 2主宰 1流浪法师 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,瑞兹,沃里克,茂凯,慎,亚索,金克丝,赛娜,瑟提
2堡垒卫士 2亡眼射手 1女皇 2神谕者 2法师 1流浪法师 2弗雷尔卓德 2巨神峰 3虚空 ,瑞兹,艾希,卡萨丁,塔里克,玛尔扎哈,丽桑卓,卑尔维斯,厄斐琉斯
2挑战者 2亡眼射手 2枪手 2神谕者 1流浪法师 2弗雷尔卓德 3艾欧尼亚 2祖安 ,瑞兹,艾希,艾瑞莉娅,丽桑卓,亚索,烬,泽丽,金克丝
2堡垒卫士 2亡眼射手 4神谕者 2法师 1流浪法师 2弗雷尔卓德 3艾欧尼亚 2巨神峰 ,瑞兹,艾希,卡尔玛,塔里克,慎,阿狸,丽桑卓,厄斐琉斯
2堡垒卫士 2格斗家 2挑战者 2神谕者 1流浪法师 2弗雷尔卓德 2暗影岛 3虚空 ,瑞兹,科加斯,卡萨丁,茂凯,瑟庄妮,丽桑卓,卡莎,卡莉丝塔
2堡垒卫士 2格斗家 2挑战者 2神谕者 1流浪法师 2弗雷尔卓德 2暗影岛 3虚空 ,瑞兹,卡萨丁,茂凯,瑟庄妮,丽桑卓,卡莎,雷克塞,卡莉丝塔
2挑战者 2神谕者 2主宰 2潜行者 2裁决战士 1流浪法师 1暗裔 3艾欧尼亚 3诺克萨斯 ,瑞兹,艾瑞莉娅,卡尔玛,卡特琳娜,德莱厄斯,劫,亚托克斯,莎弥拉
2堡垒卫士 2挑战者 2神谕者 2潜行者 2裁决战士 1流浪法师 3艾欧尼亚 4暗影岛 ,瑞兹,艾瑞莉娅,茂凯,慎,佛耶戈,劫,卡莉丝塔,格温
2挑战者 2神谕者 2主宰 2潜行者 2裁决战士 1流浪法师 1暗裔 3艾欧尼亚 3诺克萨斯 ,瑞兹,卡尔玛,卡特琳娜,德莱厄斯,亚索,劫,亚托克斯,莎弥拉
2堡垒卫士 2亡眼射手 2枪手 2神谕者 2法师 1流浪法师 3艾欧尼亚 2巨神峰 2祖安 ,瑞兹,塔里克,慎,阿狸,烬,泽丽,金克丝,厄斐琉斯
2堡垒卫士 2神谕者 2主宰 2潜行者 1流浪法师 3诺克萨斯 2暗影岛 3恕瑞玛 ,瑞兹,卡特琳娜,茂凯,卡西奥佩娅,内瑟斯,德莱厄斯,佛耶戈,奎桑提
2堡垒卫士 2挑战者 2神谕者 2主宰 1流浪法师 3诺克萨斯 2暗影岛 3恕瑞玛 ,瑞兹,茂凯,卡西奥佩娅,内瑟斯,德莱厄斯,莎弥拉,卡莉丝塔,奎桑提
2堡垒卫士 2挑战者 2神谕者 2潜行者 2裁决战士 1流浪法师 3艾欧尼亚 4暗影岛 ,瑞兹,茂凯,慎,亚索,佛耶戈,劫,卡莉丝塔,格温
2格斗家 2枪手 2主宰 2裁决战士 1大发明家 1暗裔 3诺克萨斯 3皮尔特沃夫 3约德尔人 ,赛恩,崔丝塔娜,黑默丁格,德莱厄斯,杰斯,克烈,蔚,亚托克斯
2格斗家 2挑战者 2亡眼射手 2主宰 2弗雷尔卓德 3艾欧尼亚 3诺克萨斯 ,赛恩,艾希,艾瑞莉娅,瑟庄妮,德莱厄斯,烬,莎弥拉,瑟提
2格斗家 2亡眼射手 2神谕者 2主宰 3弗雷尔卓德 3诺克萨斯 3恕瑞玛 ,赛恩,艾希,卡西奥佩娅,内瑟斯,瑟庄妮,德莱厄斯,丽桑卓,阿克尚
2格斗家 2挑战者 2亡眼射手 2主宰 2弗雷尔卓德 3艾欧尼亚 3诺克萨斯 ,赛恩,艾希,瑟庄妮,德莱厄斯,亚索,烬,莎弥拉,瑟提
2堡垒卫士 2格斗家 2挑战者 2潜行者 3诺克萨斯 2暗影岛 3虚空 ,赛恩,科加斯,卡萨丁,卡特琳娜,茂凯,卡莎,佛耶戈,莎弥拉
2堡垒卫士 2格斗家 2挑战者 2潜行者 3诺克萨斯 2暗影岛 3虚空 ,赛恩,卡萨丁,卡特琳娜,茂凯,卡莎,佛耶戈,莎弥拉,雷克塞
2格斗家 2挑战者 2神谕者 2主宰 3艾欧尼亚 3诺克萨斯 3恕瑞玛 ,赛恩,艾瑞莉娅,卡尔玛,雷克顿,卡西奥佩娅,内瑟斯,德莱厄斯,亚索
